GPU Memory Track | 23-May-24-13:24:34 | Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb


At /home/jason/ECCV2022-RIFE/inference_img.py line 16: <module> Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb

+ | 1 * Size:(128, 64, 3, 3)      | Memory: 0.2812 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 2 * Size:(90, 45, 3, 3)       | Memory: 0.2780 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(150, 75, 3, 3)      | Memory: 0.3862 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(1, 2, 32, 56)       | Memory: 0.0136 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 32, 3, 3)       | Memory: 0.0703 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(45, 20, 3, 3)       | Memory: 0.0308 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(256, 64, 4, 4)      | Memory: 1.0 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 18 * Size:(240,)               | Memory: 0.0164 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 3 * Size:(1, 3, 256, 448)     | Memory: 3.9375 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(256,)               | Memory: 0.0039 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(64, 32, 3, 3)       | Memory: 0.0703 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(16, 16, 3, 3)       | Memory: 0.0087 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 8 * Size:(240, 240, 3, 3)     | Memory: 15.820 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(240, 5, 4, 4)       | Memory: 0.0732 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/jason/ECCV2022-RIFE/inference_img.py line 130: <module> Total Tensor Used Memory:46.0   Mb Total Allocated Memory:47.0   Mb

